,Sales,CO2_Emissions,Tesla_Open,Tesla_High,Tesla_Low,Tesla_Close,Tesla_Adj_Close,Tesla_Volume,GDP Deflator,Coal,Distillate,Residual,Kerosene,Propane,Natural Gas,Electricity,Wood,Motor Gasoline,Jet Fuel,Chip_Cost,Electricity_Price
Distillate,-0.5566665677688822,0.6903100886650674,-0.7605547803389533,-0.7589654078804305,-0.7622142301518047,-0.7605219076015128,-0.7605219076015128,-0.20942165095491466,-0.7006802597357648,0.38600050509611217,1.0,0.9969894523108542,0.9588100008938586,0.8805684954093739,0.8565761435451924,0.6204736886761483,,,,0.7242130843646034,-0.5512660820730613
Residual,-0.5741648641906366,0.6683844377594531,-0.7749853133054506,-0.7735713327822858,-0.77651323067825,-0.7750071538763311,-0.7750071538763311,-0.24294157714328926,-0.714150461272361,0.40789195468563605,0.9969894523108542,1.0,0.9531751409530496,0.893490041049237,0.8616292303932012,0.6153544402814359,,,,0.7345729080098528,-0.5660602372408614
Kerosene,-0.36926265671195535,0.6931519923848039,-0.5811008038369426,-0.5786138114135906,-0.5834886699562931,-0.5809974060473073,-0.5809974060473073,-0.04804865279841235,-0.518447562484962,0.27563267406572817,0.9588100008938586,0.9531751409530496,1.0,0.8720073335620383,0.8478894390966344,0.6355343346133421,,,,0.5736757197534508,-0.4359950748137539
Propane,-0.47724981696016655,0.7993316237898399,-0.6270735356504626,-0.6260649584330541,-0.6282599630151473,-0.6271496144927889,-0.6271496144927889,-0.21911014898299147,-0.6245937528708443,0.6642260006515758,0.8805684954093739,0.893490041049237,0.8720073335620383,1.0,0.9753098578190116,0.6849913149099097,,,,0.7201200102518626,-0.47776748757799664
Natural Gas,-0.5024008708625892,0.8401840200134342,-0.6192649817510358,-0.6180124529547547,-0.6204510556950671,-0.619126031674672,-0.619126031674672,-0.22787009725141325,-0.6499204075984347,0.7199686085272486,0.8565761435451924,0.8616292303932012,0.8478894390966344,0.9753098578190116,1.0,0.7607592069360176,,,,0.7618575608757426,-0.44060760542394306
Electricity,-0.6569826427916609,0.8445558355947733,-0.44580671309897457,-0.4461400218127683,-0.4454076231263886,-0.445859587463514,-0.445859587463514,-0.1581316864346373,-0.665845693205942,0.42933057086904863,0.6204736886761483,0.6153544402814359,0.6355343346133421,0.6849913149099097,0.7607592069360176,1.0,,,,0.728268991388272,-0.1434305102215839
Wood,,,,,,,,,,,,,,,,,,,,,
Motor Gasoline,,,,,,,,,,,,,,,,,,,,,
Jet Fuel,,,,,,,,,,,,,,,,,,,,,
Chip_Cost,-0.8835517987680852,0.669365062608596,-0.8541390859068819,-0.8549614768601886,-0.853416774981184,-0.8541975947847705,-0.8541975947847705,-0.47766617962289853,-0.9493955010470251,0.6893668429836831,0.7242130843646034,0.7345729080098528,0.5736757197534508,0.7201200102518626,0.7618575608757426,0.728268991388272,,,,1.0,-0.5050482134295764
Electricity_Price,0.41900352144318354,-0.4866874878197101,0.7141972745046871,0.7132478224684846,0.7154470655609492,0.7142818702128302,0.7142818702128302,0.3906149540645153,0.528085905069536,-0.3888411146268304,-0.5512660820730613,-0.5660602372408614,-0.4359950748137539,-0.47776748757799664,-0.44060760542394306,-0.1434305102215839,,,,-0.5050482134295764,1.0
